"","Subtype","Provider","Name","Town","Council","Clients","Grades published","Setting","Staffing","Leadership","Care and play","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"77","Under 3s","Voluntary or Not for Profit","Inverbrothock Playgroup","Arbroath","Angus","Children","08/03/2023",5,5,5,4,"14/02/2023","2002_4",0,0
"78","Under 3s","Voluntary or Not for Profit","Ladybird Playgroup - Arbroath","Arbroath","Angus","Children","15/04/2019",4,4,4,4,"18/03/2019","2002_4",0,0
"79","Over 3s","Voluntary or Not for Profit","Letham Out of School Club","Forfar","Angus","Children","10/04/2024",4,4,3,3,"21/03/2024","2002_4",0,0
"80","Under 3s","Voluntary or Not for Profit","Lochside Playgroup","Montrose","Angus","Children","17/01/2023",5,5,4,5,"23/11/2022","2002_4",0,3
"81","Over 3s","Voluntary or Not for Profit","Monifieth Out Of School Care Club (Grange)","Dundee","Angus","Children","27/07/2023",5,5,5,5,"28/06/2023","2002_4",0,0
"82","Over 3s","Voluntary or Not for Profit","Monifieth Out Of School Care Club (Seaview)","Dundee","Angus","Children","10/05/2023",5,5,4,4,"06/04/2023","2002_4",0,0
"83","Under 3s","Voluntary or Not for Profit","Mothergoose Playgroup","Forfar","Angus","Children","11/01/2023",5,4,5,4,"13/12/2022","2002_4",0,0
"84","Under 3s","Voluntary or Not for Profit","Muirfield Playgroup","Arbroath","Angus","Children","30/06/2022",5,5,5,5,"02/05/2022","2002_4",0,0
"85","Under 3s","Voluntary or Not for Profit","Panmure Pre School","Carnoustie","Angus","Children","10/02/2023",5,5,5,5,"26/01/2023","2002_4",0,0
"86","Under 3s","Private","Rompers Nursery","Montrose","Angus","Children","17/09/2019",6,4,6,4,"16/07/2019","2002_4",0,0
"87","Under 3s","Private","Stepping Stones Playgroup","Forfar","Angus","Children","15/02/2023",4,4,4,4,"19/01/2023","2002_4",0,0
"88","Under 3s","Voluntary or Not for Profit","Sunshine Play School","Kirriemuir","Angus","Children","21/03/2023",5,4,5,5,"07/02/2023","2002_4",0,0
"89","Under 3s","Private","Hayshead Playgroup","Arbroath","Angus","Children","19/12/2022",5,5,5,5,"11/11/2022","2002_4",0,0
"90","Under 3s","Voluntary or Not for Profit","Meadows Under Fives Group","Campbeltown","Argyll & Bute","Children","14/08/2023",4,5,5,5,"27/07/2023","2002_4",0,0
"91","Under 3s","Voluntary or Not for Profit","Patchwork 2-5 Nursery","Dunoon","Argyll & Bute","Children","07/11/2018",4,4,4,4,"25/09/2018","2002_4",0,0
"92","Under 3s","Voluntary or Not for Profit","Clyde Cottage Nursery","Dunoon","Argyll & Bute","Children","30/11/2023",4,4,4,4,"03/11/2023","2002_4",0,0
"93","Over 3s","Voluntary or Not for Profit","ESCAPE","Dunoon","Argyll & Bute","Children","30/09/2022",4,4,4,4,"09/09/2022","2002_4",0,0
"94","Under 3s","Voluntary or Not for Profit","Soroba Young Family Centre","Oban","Argyll & Bute","Children","26/06/2018",4,4,4,4,"27/04/2018","2002_4",0,0
"95","Over 3s","Voluntary or Not for Profit","Schools Out Oban","Oban","Argyll & Bute","Children","26/09/2019",5,5,4,5,"09/08/2019","2002_4",0,0
"96","Under 3s","Private","Oban's 1st Steps Day Nursery Ltd.","Oban","Argyll & Bute","Children","24/06/2019",4,4,4,4,"06/05/2019","2002_4",0,0
"97","Under 3s","Private","Mulberry Bush Nursery","Helensburgh","Argyll & Bute","Children","29/11/2019",6,5,4,5,"11/11/2019","2002_4",0,0
"98","Under 3s","Private","Clyde Nursery","Helensburgh","Argyll & Bute","Children","15/08/2022",5,5,4,4,"26/07/2022","2002_4",0,0
"99","Under 3s","Private","Nursery Rhymes Childcare Ltd","Dumbarton","Argyll & Bute","Children","02/08/2023",4,4,4,4,"26/06/2023","2002_4",0,0
"100","Over 3s","Voluntary or Not for Profit","Alva Play Pals Out Of School Care","Alva","Clackmannanshire","Children","20/12/2022",5,4,4,5,"28/10/2022","2002_4",0,0
"101","Over 3s","Local Authority","Kidzone Out Of School Care","Alloa","Clackmannanshire","Children","28/05/2024",5,5,5,5,"24/04/2024","2002_4",0,0
"102","Under 3s","Voluntary or Not for Profit","Bellsbank Project Creche","Dalmellington","East Ayrshire","Children","01/03/2023",4,4,4,4,"08/02/2023","2002_4",0,0
"103","Under 3s","Voluntary or Not for Profit","The Avenue Childcare Services - Daycare of Children","Kilmarnock","East Ayrshire","Children","22/07/2019",4,5,4,5,"24/04/2024","2002_4",0,0
